Supplier_Title,Amazon_Title,ASIN,EAN,Match_Type,Tier,Confidence_Score,EAN_Exact_Match,Sales,Net_Profit,ROI,Supplier_Price,Amazon_Price,Bucket,Inclusion_Reason,Confidence,Validation_Required,Priority,Similarity,Unit_Qty_Flag,Unit_Qty_Note,Category,Supplier_URL,Amazon_URL,FBA_Sellers,Dashboard_Flags
EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,B005XKFN0O,5050028016069,EAN,T1,60,TRUE,50.0,8.0,263.1990132,2.988,18.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.69,MATCH,,Light Bulbs,https://www.efghousewares.co.uk/everready-t8-4ft-36w-tube-light-110739,https://www.amazon.co.uk/dp/B005XKFN0O,,BRAND_MISMATCH
ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",B0CCJS5GKB,5053249253183,EAN,T1,75,TRUE,200.0,2.09,380.6060606,0,8.38,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.67,MISMATCH_CHECK,,Household Cleaning,https://www.efghousewares.co.uk/elbow-grease-toilet-cleaner-lemon-104099,https://www.amazon.co.uk/dp/B0CCJS5GKB,,BRAND_MISMATCH
BEAUFORT SQUARE FOOD CONTAINER 600ML,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEAR SOLID LID,B0046MHRMM,5014348229363,Title,T2,45,FALSE,200.0,2.09,190.2651515,0.66,7.91,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.6,MATCH,,Food Containers,https://www.efghousewares.co.uk/beaufort-sq-food-container-0-6-ltr,https://www.amazon.co.uk/dp/B0046MHRMM,,AMAZON_EAN_MISSING
BEAUFORT SQUARE FOOD CONTAINER 1LTR,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEAR SOLID LID,B0046MHRMM,5014348277067,Title,T2,45,FALSE,200.0,2.03,173.5042735,0.744,7.92,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.62,MATCH,,Food Containers,https://www.efghousewares.co.uk/beaufort-sq-food-container-01-ltr,https://www.amazon.co.uk/dp/B0046MHRMM,,AMAZON_EAN_MISSING
EXTRA SELECT FISH FOOD BLEND BUCKET 5L,"Extra Select Complete Fish Food Blend Tub, 5 Litre",B00X5D4SE8,5022245006710,Title,T2,45,FALSE,50.0,1.71,27.91123779,6.708,14.49,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.75,MATCH,,Fish Product,https://www.efghousewares.co.uk/extra-select-fish-food-blend-bucket-5l-115001,https://www.amazon.co.uk/dp/B00X5D4SE8,,AMAZON_EAN_MISSING
151 ADHESIVE SPRAY HEAVY DUTY 500ML,3 Spray Glue Adhesive Contact Glue Heavy Duty Mount DIY Craft Upholstery 500ml,B098P62161,5053249215044,EAN,T1,60,TRUE,200.0,1.42,46.19978284,3.024,10.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.5,MATCH,,Diy   Tools,https://www.efghousewares.co.uk/151-adhesive-spray-heavy-duty-500ml,https://www.amazon.co.uk/dp/B098P62161,Available (see Keepa data),BRAND_MISMATCH
CHRISTMAS LAPTRAY  ROBINS,Cushioned Lap Tray - Christmas Robins Design,B0FMS875KH,5010792542676,EAN,T1,40,TRUE,50.0,1.4,17.08738848,9.204,16.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.46,MATCH,,Giftware,https://www.efghousewares.co.uk/christmas-laptray-robins-120560,https://www.amazon.co.uk/dp/B0FMS875KH,,BRAND_MISMATCH
GEL  LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,B0FQK17X7F,5010792542737,EAN,T1,60,TRUE,50.0,1.3,18.53838817,7.728,15.1,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.42,MATCH,,Giftware,https://www.efghousewares.co.uk/gel-led-candle-festive-robin-120514,https://www.amazon.co.uk/dp/B0FQK17X7F,,BRAND_MISMATCH
FRAGRANT CLOUD EDT 100ML POUR FEMME EACH,Fragrant Cloud Rose Ladies Women Perfume Eau De Parfum Spray New Gift 100ml,6040418214,5055170281372,EAN,T1,80,TRUE,100.0,1.24,65.25871172,1.6128,7.5,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.42,MATCH,,Other,https://www.efghousewares.co.uk/fragrant-cloud-edt-100ml-pour-femme-each-109995,https://www.amazon.co.uk/dp/6040418214,Available (see Keepa data),
HIGHLAND COW PLAQUE FRIENDS,Lesser & Pavey Love & Affection Highland Cow Wooden Plaque - Friends For Home Decor & Gift | Wooden and Acrylic Plaques For Home and Office | Ideal Signs & Plaque Birthday Gifts For Women & Men,B0DPQVJ4NW,5010792749549,EAN,T1,40,TRUE,400.0,1.24,20.55739514,6.588,14.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.25,MATCH,,Giftware,https://www.efghousewares.co.uk/highland-cow-plaque-friends-116502,https://www.amazon.co.uk/dp/B0DPQVJ4NW,Available (see Keepa data),BRAND_MISMATCH
MASON CASH ORIGINAL PUDDING BASIN WHITE 14CM,"Mason Cash Original Earthenware All-Purpose Pudding Basin, 14 cm",B0000VLTAO,5012133014422,Title,T2,45,FALSE,50.0,1.16,55.88942308,1.836,7.98,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.7,MATCH,,Home Baking,https://www.efghousewares.co.uk/mason-cash-original-pudding-basin-white-14cm-118429,https://www.amazon.co.uk/dp/B0000VLTAO,,AMAZON_EAN_MISSING
FALCON ENAMEL ROUND PIE DISH  26CM,FALCON Round Pie Dish White 26CM,B07NNY768K,5012823030916,Title,T2,45,FALSE,50.0,0.89,20.89188134,4.464,10.69,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.82,MATCH,,Bakeware,https://www.efghousewares.co.uk/enamel-26cm-round-pie-dish-2020-106321,https://www.amazon.co.uk/dp/B07NNY768K,,AMAZON_EAN_MISSING
MAGIC POTIONS KIT,World of Science Adventure Science Kits | STEAM Educational Adventure Science Sets (Magic Potions Adventure Kit),B0DJM5FP8N,5033849987527,EAN,T1,40,TRUE,50.0,0.81,16.23505976,5.364,12.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.26,MATCH,,Games,https://www.efghousewares.co.uk/magic-potions-kit-124131,https://www.amazon.co.uk/dp/B0DJM5FP8N,,BRAND_MISMATCH
HOUSE MATE STAINLESS STEEL CLEANER & POLISH,House Mate Stainless Steel Cleaner and Polisher 400ml (Pack of 1),B0111N9Z1O,5039295201040,EAN,T1,95,TRUE,50.0,0.79,20.88830255,3.888,10.43,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.78,MATCH,,Polishes,https://www.efghousewares.co.uk/house-mate-stainless-steel-cleaner-polish,https://www.amazon.co.uk/dp/B0111N9Z1O,,
PRODEC CAULKER 12 INCH,"ProDec 12"" Flexible Caulker Blade for Fast, Efficient Application of Fillers and Caulk and Smoothing of Wallpaper",B008F7YP9C,5019200117338,EAN,T1,60,TRUE,50.0,0.69,15.71100917,4.572,9.63,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.27,MATCH,,Fit For Job   Prodec Blackrock,https://www.efghousewares.co.uk/prodec-caulker-12-inch,https://www.amazon.co.uk/dp/B008F7YP9C,,
BAKER & SALT LOOSE CASE CAKE TIN 23CM,Baker & Salt Loose Based Round Cake Tin Deep - 09inch,B082Q34WLQ,5038135559808,Title,T2,45,FALSE,50.0,0.4,8.140509725,5.304,10.99,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.73,MATCH,,Bakeware,https://www.efghousewares.co.uk/baker-salt-loose-case-cake-tin-23cm-80333,https://www.amazon.co.uk/dp/B082Q34WLQ,,AMAZON_EAN_MISSING
SMART CHOICE CANVAS PLUSH/ROPE DOG TOY,"Smart Choice Dog Toy Box, Grey",B0B8T9L8RY,5052516214421,Title,T2,45,FALSE,100.0,0.36,10.07236228,3.624,8.95,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.59,MATCH,,Dog Products,https://www.efghousewares.co.uk/smart-choice-canvas-plush-rope-dog-toy,https://www.amazon.co.uk/dp/B0B8T9L8RY,,AMAZON_EAN_MISSING
ELLIOTT WINDOW SQUEEGE 20CM,"Elliott Multi-Purpose Window Squeegee perfect for streak free cleaning on Windows, shower screens, cars and mirrors, Aluminium frame housing a 20cm rubber squeegee with an ergonomic Grey Handle.",B00KB225MS,5013159300353,EAN,T1,60,TRUE,200.0,0.29,14.1025641,1.836,6.64,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.24,MATCH,,Mops  Squeegees,https://www.efghousewares.co.uk/elliott-window-squeege-20cm,https://www.amazon.co.uk/dp/B00KB225MS,Available (see Keepa data),
THE BIG CHEESE QUICK CLICK MOUSE TRAP 2PK,"The Big Cheese Quick Click Mouse Trap - Twinpack, Kills Mice, Baited and Ready-To-Use, Easy Clean and Disposal, Plastic, Indoor and Outdoor Use, White",B077G5PTRK,5036200121479,EAN,T1,80,TRUE,50.0,0.27,11.31944444,2.22,7.79,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.42,MATCH,,Stv International,https://www.efghousewares.co.uk/the-big-cheese-quick-click-mouse-trap-2pk,https://www.amazon.co.uk/dp/B077G5PTRK,,
GABBYS DOLLHOUSE STICKER BOOK,"ALLIGATOR - Gabby's Dollhouse Sticker Book, Sticker Book, Sticker Books, Gabbys Dollhouse Toys UK, Gabby's Dollhouse Book,Sticker Activity Book, Reusable Sticker Book",1788245415,9781788245418,EAN,T1,40,TRUE,1000.0,0.26,14.9262202,1.4544,5.49,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.3,MATCH,,Other,https://www.efghousewares.co.uk/gabbys-dollhouse-sticker-book-117428,https://www.amazon.co.uk/dp/1788245415,,BRAND_MISMATCH
TALA COCKTAIL STICKS 200,"Tala Bamboo Cocktail Sticks, Ponted End Cocktails Sticks Perfect for Buffets, Canapes and Appetisers, Pack Off 200 Stick Each Measuring 8cm, Can Also be Used a dential/toothpicks",B00LZRJTEA,5012904061204,EAN,T1,60,TRUE,50.0,0.25,22.67267267,0.672,4.19,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.24,MATCH,,Kitchen Gadgets   Utensils,https://www.efghousewares.co.uk/tala-cocktail-sticks-200,https://www.amazon.co.uk/dp/B00LZRJTEA,Available (see Keepa data),
ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",B099X92QGG,5013159004428,EAN,T1,40,TRUE,100.0,0.22,8.4625323,2.436,7.27,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.28,MATCH,,Mops  Squeegees,https://www.efghousewares.co.uk/elliotts-glass-spray-bottle-brown480ml,https://www.amazon.co.uk/dp/B099X92QGG,Available (see Keepa data),BRAND_MISMATCH
PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Essentials Glass oval Casserole high resistance, 3 L",B01LCYXS24,3426470268684,Title,T2,45,FALSE,100.0,0.21,2.288543897,10.548,16.89,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.6,MATCH,,Pyrex,https://www.efghousewares.co.uk/pyrex-essentials-casserole-oval-3ltr-pm-,https://www.amazon.co.uk/dp/B01LCYXS24,,AMAZON_EAN_MISSING
BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting| Suitable for Round & Oval Taps| Shower Head for Bathroom| ~1.5 Meters| (White),B008F6946C,5060187175750,EAN,T1,60,TRUE,500.0,0.2,4.802259887,4.296,9.85,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.27,MATCH,,Showerheads & Hoses,https://www.efghousewares.co.uk/blue-canyon-vector-shower-spray,https://www.amazon.co.uk/dp/B008F6946C,Available (see Keepa data),
ROYLE HOME SPRINGFORM CAKE TIN,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",B01APK7CDC,5015302472535,EAN,T1,80,TRUE,100.0,0.19,7.725207164,2.3328,7.88,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.43,MATCH,,Other,https://www.efghousewares.co.uk/royle-home-springform-cake-tin-26-9,https://www.amazon.co.uk/dp/B01APK7CDC,,
PYREX MEASURE & MIX BEAKER 250ML (PM),"Pyrex 250 ml Kitchen Lab Measure and Mix Beaker, Multicolour",B007ZQ45XA,3426470024396,Title,T2,45,FALSE,100.0,0.13,3.354978355,3.96,9.02,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.58,MATCH,,Glass Tableware,https://www.efghousewares.co.uk/pyrex-measure-mix-beaker-250ml-pm-,https://www.amazon.co.uk/dp/B007ZQ45XA,,AMAZON_EAN_MISSING
MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN SOMEONE SPECIAL,Waterproof Robin Memorial Graveside Lantern with LED Candle (Someone Special),B096KRFC4W,5055361761119,EAN,T1,75,TRUE,50.0,0.08,1.235541535,6.948,13.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.72,MATCH,,Memorial,https://www.efghousewares.co.uk/memorial-waterproof-graveside-lantern-with-robin-someone-special-110901,https://www.amazon.co.uk/dp/B096KRFC4W,Available (see Keepa data),BRAND_MISMATCH
CHEF AID STRAINER DIAMETER 18CM,"Chef Aid 18cm Long Handled Metal Sieve, Kitchen Essential Tool and Ideal for Straining, draining, Washing and Wide Range of Foods, with a fine mesh for Ease of use",B000TAU3QW,5012904004188,EAN,T1,60,TRUE,200.0,0.08,3.840245776,1.944,6.4,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.22,MATCH,,Kitchen Gadgets   Utensils,https://www.efghousewares.co.uk/chef-aid-strainer-diameter-18cm,https://www.amazon.co.uk/dp/B000TAU3QW,Available (see Keepa data),
TREAT AND EASE EYE MIST SPRAY,Eye Mist Eyelid Spray for Refreshing Soothing Relief Dry Tired Irritated Itch Sore Eyes 15ml,B093H2DHHF,5056175904327,EAN,T1,40,TRUE,100.0,0.06,4.436450839,1.008,3.95,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.23,MATCH,,First Aid Pharmacy Personal,https://www.efghousewares.co.uk/treat-and-ease-eye-mist-spray-106977,https://www.amazon.co.uk/dp/B093H2DHHF,Available (see Keepa data),BRAND_MISMATCH
GLASS WHISKEY DECANTER,alpina Whiskey Decanter and Caraf,B07JD22MJ2,8711252100531,EAN,T1,40,TRUE,200.0,0.02,0.730411687,2.352,8.29,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.69,MATCH,,Glass Tableware,https://www.efghousewares.co.uk/glass-whiskey-decanter,https://www.amazon.co.uk/dp/B07JD22MJ2,,BRAND_MISMATCH
