EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,bought_in_past_month,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,NetProceeds,NetProfit,ROI,ProfitMargin,match_type,matching_score,match_reasoning
5056117265554,5065014374160,B0BLHWJRHF,Fluffy Bear 2 Piece Beige Hooded Set with Applique Design (9-12 Months),Fluffy Bear 2 Piece Beige Hooded Set with Applique Design (9-12 Months),,14.328,11.94,26.99,4.767916667,4.217916667,33.77034961,18.75324194,Title Match,100,Exact title match
5056188236934,,B0DZDV3P74,Grey Cellular Cotton Baby Blanket (70 x 90cm),"Soft Touch Newborn Essentials 70 x 90cm Cotton Baby Cellular Blanket for Pram, Car Seat and Cot Bedding",100,4.26,3.55,12.99,3.24125,2.69125,65.6402439,24.86143187,Title Match,65,"Product type: blanket, Qty: 90, Color: grey, Size: 90"
5056188213256,,B0DZDY6ZKG,Grey Cellular Cotton Baby Blanket (70 x 90cm),"Soft Touch Newborn Essentials 70 x 90cm Cotton Baby Cellular Blanket for Pram, Car Seat and Cot Bedding",100,3.6,3,12.99,2.875,2.325,65.49295775,21.47806005,Title Match,65,"Product type: blanket, Qty: 90, Color: grey, Size: 90"
5055141660342,,B00803ITX4,Lilac Wired Edge Organza Ribbon (70mm x 20m),Quality Florist / Craft Lilac Wired Edge Chiffon Organza Ribbon (70mm wide x 20m),,2.7,2.25,9.99,2.41625,1.86625,66.65178571,22.41741742,Title Match,65,"Product type: ribbon, Qty: 20, Color: red, Size: 70"
5055141660274,,B07MC4B591,Baby Pink Wired Edge Organza Ribbon (20m x 50mm),INERRA Chiffon Ribbon - Luxury Wired Edge 20 Metres x 50mm - (Baby Pink),,2.7,2.25,9.99,2.41625,1.86625,66.65178571,22.41741742,Title Match,65,"Product type: ribbon, Qty: 50, Color: red, Size: 50"
5056721855936,8718692062214,B0DY1SH7D1,Dark Green Exterior Moss Wall (50x50cm),"Forest Moss Dark Moss Wall - 50 x 50 cm - Pack of 4 - Artificial Moss Wall with Opaque Backing, High Density Artificial Moss for Walls, Easy Care Moss Wall, Artificial Moss for Wall",,16.2,13.5,71.4,34.665,34.115,242.8113879,57.33613445,Title Match,65,"Product type: general, Qty: 50, Color: green, Size: 50"
5055141660427,,B00803WOS0,Baby Blue Wired Edge Organza Ribbon (70mm x 20m),Quality Florist/Craft Baby Pink Wired Edge Chiffon Organza Ribbon (70mm wide x 20m),,3.588,2.99,10.95,2.35625,1.80625,51.0240113,19.79452055,Title Match,65,"Product type: ribbon, Qty: 20, Color: red, Size: 70"
5050565582324,5050565649621,B0CPLM8D7Q,3 Ring Blue Paddling Pool (34 inch x 8 inch),"3 RING PADDLING POOL 34"" X 8"" BLUE",,5.676,4.73,14.16,2.89,2.34,44.31818182,19.83050847,Title Match,65,"Product type: general, Qty: 8, Color: blue, Size: 34"
5055977347998,5055977347998,B0BD567CCR,Pearlised Black Bouquet Box - (18 x 18 x 24.5cm) (x10),"APAC 10pcs Flower Box (Pearlised Lavender) - Strong Cardboard Presentation Boxes for Floral Arrangements, Transporting Flowers, Bouquets, Plants, Gifts, 18 x 18 x 24.5cm",,7.8,6.5,17.37,3.39375,2.84375,40.33687943,19.64594128,Title Match,65,"Product type: general, Qty: 18, Color: black, Size: 24.5"
5055141660328,5055141660519,B00803IBAU,Shocking Pink Wired Edge Organza Ribbon (70mm x 20m),Quality Florist / Craft Rose Pink Wired Edge Chiffon Organza Ribbon (70mm wide x 20m),,2.7,2.25,10.25,1.621666667,1.071666667,38.27380952,12.54634146,Title Match,65,"Product type: ribbon, Qty: 20, Color: red, Size: 70"
5055141660502,5055141660502,B00803ITX4,Emerald Wired Edge Organza Ribbon (70mm x 20m),Quality Florist / Craft Lilac Wired Edge Chiffon Organza Ribbon (70mm wide x 20m),,3.588,2.99,9.99,1.67625,1.12625,31.81497175,13.52852853,Title Match,65,"Product type: ribbon, Qty: 20, Color: red, Size: 70"
