ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,Sales,TitleSimilarity,PackVerdict,SupQty,AmzQty
B0DT71SSPT,5060357991357.0,PHOODS FOIL TRAY ROASTER,"Superior Sandwich Platter Trays - Pack of 10 Catering Trays for Parties - Buffet Serving Tray with Spill Proof Lids - Catering Platters for Cakes, Parties & Events, Meal Prep Large Tray",3.905,50,0.19138755980861244,EXCLUDED (MISMATCH (1 vs 10)),1,10
B07WDRQ4J7,5059001500861.0,AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",16.5533333333333,200,0.5692307692307692,EXCLUDED (MISMATCH (1 vs 30)),1,30
B06X9K7NR7,5025364001970.0,TIDYZ DOGGY BAGS STRONG 50 PCS 30cm x 36cm,"Tidyz 200 x Extra Large Super Strong Doggy bags (4 x 50),Black",0.736666666666667,500,0.40384615384615385,EXCLUDED (MISMATCH (50 vs 200)),50,200
B0DJDH23JW,5060357990107.0,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",2.12833333333333,700,0.3103448275862069,EXCLUDED (MISMATCH (10 vs 9)),10,9
B009SJXB32,5026180033572.0,APOLLO VINEGAR SHAKER,"apollo THE HOUSEWARES BRAND 3357 Glass Vinegar Shaker, Clear 15 x 5.5 x 5.5 cm",0.463333333333332,50,0.42424242424242425,EXCLUDED (MISMATCH (1 vs 15)),1,15
B07YQ5HFFN,5030481940088.0,PPS ROUND 40 DOYLEYS 21CM,"40 X White Round LACE DOYLEYS - 22cm/8.5"" Quality Disposable Paper mats Great for Entertaining and Parties",0.296666666666666,700,0.2900763358778626,EXCLUDED (MISMATCH (1 vs 40)),1,40
B007IGLUIK,5060187173633.0,MIRROR BLUE CANYON SQUARE PLASTIC MIRROR,Blue Canyon - 18cm Free Standing Square Mirror - White Colour - Perfect for Shaving and Applying Makeup - One Side with 2x Magnification - Double Sided Multipurpose Mirror - BA2046,0.434999999999999,100,0.2909090909090909,EXCLUDED (MISMATCH (1 vs 2)),1,2
B00W3RVAG6,5010853203508.0,MASON CASH CERAMIC RECT DISH 16cm,"Mason Cash 2001.542 Collection Fine Stoneware Square Roasting Baking and Serving Dish, Ceramic, White, 16 x 16 x 4.5 cm",0.101666666666666,50,0.32894736842105265,EXCLUDED (MISMATCH (1 vs 16)),1,16
B07YPPK4JY,5022704000013.0,FIRE UP NATURAL FIRELIGHTERS 28 PACK,"Fireglow Firelighters 24 Pack, White",0.0216666666666669,100,0.6944444444444444,EXCLUDED (MISMATCH (28 vs 24)),28,24
B00M36YPIM,5012904148738.0,CHEF AID SHOT GLASSES ASSORTED 20PCE,"Chef Aid Multi-Coloured Plastic Shot Glasses, Pack of 20 Reusable 30ml Party Cups, Bright, Colourful Drinking Glasses for Shots, Cocktails and Celebrations",0.0300000000000009,600,0.33507853403141363,EXCLUDED (MISMATCH (1 vs 20)),1,20
